OrderID,CustomerID,EmployeeID,orderDate,ShipCity,Status
1,1,2,01-06-2023,Pune,Delivered
2,2,3,02-06-2023,Mumbai,Delivered
3,3,2,03-06-2023,Delhi,Delivered
4,4,6,05-06-2023,Bangalore,Cancelled
5,5,3,07-06-2023,Ahmedabad,Delivered
6,1,2,10-06-2023,Pune,Delivered
7,6,6,12-06-2023,Pune,Pending
8,7,2,15-06-2023,Jaipur,Delivered
9,8,3,18-06-2023,Hyderabad,Delivered
10,9,6,20-06-2023,Chennai,Delivered
11,2,2,22-06-2023,Mumbai,Cancelled
12,10,3,25-06-2023,Kochi,Delivered
13,11,6,27-06-2023,Pune,Delivered
14,3,2,01-07-2023,Delhi,Pending
15,12,3,03-07-2023,Delhi,Delivered
16,4,6,05-07-2023,Bangalore,Delivered
17,5,2,08-07-2023,Ahmedabad,Delivered
18,9,3,10-07-2023,Chennai,Delivered
19,1,6,12-07-2023,Pune,Delivered
20,7,2,15-07-2023,Jaipur,Delivered
