ProductID,ProductName,Category,Price,StockQty
1,Wireless Mouse,Electronics,599,150
2,Bluetooth Headphones,Electronics,1999,80
3,Office Chair,Furniture,4999,25
4,Study Table,Furniture,3499,20
5,Notebook Set,Stationery,199,300
6,Backpack,Accessories,1299,60
7,LED Desk Lamp,Electronics,899,90
8,Water Bottle,Accessories,349,200
9,Yoga Mat,Fitness,799,70
10,Running Shoes,Fitness,2499,40
11,Coffee Mug,Accessories,249,250
12,Whiteboard,Stationery,1099,35
13,Desk Organizer,Stationery,449,40
