OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount
1,1,1,2,599,0
2,1,5,3,199,0
3,2,2,1,1999,10
4,2,11,2,249,0
5,3,3,1,4999,5
6,4,9,1,799,0
7,5,7,2,899,0
8,5,8,4,349,0
9,6,6,1,1299,0
10,6,11,3,249,0
11,7,10,1,2499,0
12,8,4,1,3499,10
13,8,5,5,199,0
14,9,1,3,599,0
15,9,9,2,799,0
16,10,2,2,1999,0
17,10,6,1,1299,0
18,11,12,1,1099,0
19,12,7,1,899,0
20,12,8,2,349,0
21,13,3,2,4999,5
22,14,1,1,599,0
23,15,10,1,2499,10
24,15,11,4,249,0
25,16,9,1,799,0
26,16,5,2,199,0
27,17,6,2,1299,0
28,18,2,1,1999,0
29,18,7,1,899,0
30,19,8,5,349,0
31,19,11,2,249,0
32,20,3,1,4999,0
33,20,4,1,3499,5
